試合日時,Season,Kind,後攻チーム,先攻チーム,プレイの番号,回,表.裏,先攻得点,後攻得点,S,B,アウト,打席の継続,イニング継続,試合継続,一走打順,一走氏名,二走打順,二走氏名,三走打順,三走氏名,打順,打者氏名,打席左右,作戦,作戦2,作戦結果,投手氏名,投手左右,球数,捕手,一走状況,二走状況,三走状況,打者状況,プレイの種類,構え,コースX,コースY,球種,打撃結果,打撃結果2,捕球選手,打球タイプ,打球強度,打球位置X,打球位置Y,牽制の種類,牽制詳細,エラーの種類,タイムの種類,球速,プレス,偽走,打者位置,打席Id,打席結果,Result_col,打者登録名,打者番号,一走登録名,一走番号,二走登録名,二走番号,三走登録名,三走番号,投手番号,入力項目,先攻打順,後攻打順,URL,start_tag_sec,target_x,target_z,守備チーム,score,comment
2025/7/21,夏季,オープン戦,日立製作所,筑波大学,132,5,裏,0,1,2,1,0,打席完了,イニング継続,試合継続,0,0,5,山下龍斗,0,0,6,竹内翔汰,左,0,0,0,山田幹太,右,66,西川鷹晴,0,継続,0,アウト,投球,17,60.552,177.48,スライダー,空振り三振,0,0,0,0,0,0,0,0,0,0,125,0,0,9,0,空三振,black,竹内,23,0,0,山下,3,0,0,16,0,9,6,https://www.youtube.com/embed/d8B-eyBfDHU?si=nFjS69E399K2Ie5_,554,126.8975,220.92,筑波大学,-,-
2025/7/21,夏季,オープン戦,日立製作所,筑波大学,133,5,裏,0,1,0,0,1,打席継続,イニング継続,試合継続,0,0,5,山下龍斗,0,0,7,松下豪佑,左,0,0,0,山田幹太,右,67,西川鷹晴,0,継続,0,継続,投球,17,54.81,231.768,ストレート,ボール,0,0,0,0,0,0,0,0,0,0,137,0,0,D,0,0,black,松下,28,0,0,山下,3,0,0,16,0,9,7,https://www.youtube.com/embed/d8B-eyBfDHU?si=nFjS69E399K2Ie5_,565,55.23,193.305,筑波大学,-,-
2025/7/21,夏季,オープン戦,日立製作所,筑波大学,134,5,裏,0,1,0,1,1,打席継続,イニング継続,試合継続,0,0,5,山下龍斗,0,0,7,松下豪佑,左,0,0,0,山田幹太,右,68,西川鷹晴,0,継続,0,継続,投球,19,170.694,121.104,スライダー,ファール,0,0,0,0,0,0,0,0,0,0,127,0,0,D,0,0,black,松下,28,0,0,山下,3,0,0,16,ファール,9,7,https://www.youtube.com/embed/d8B-eyBfDHU?si=nFjS69E399K2Ie5_,573,188.045,172.265,筑波大学,-,-
2025/7/21,夏季,オープン戦,日立製作所,筑波大学,135,5,裏,0,1,1,1,1,打席継続,イニング継続,試合継続,0,0,5,山下龍斗,0,0,7,松下豪佑,左,0,0,0,山田幹太,右,69,西川鷹晴,0,継続,0,継続,投球,19,101.268,74.124,スライダー,見逃し,0,0,0,0,0,0,0,0,0,0,128,0,0,D,0,0,black,松下,28,0,0,山下,3,0,0,16,0,9,7,https://www.youtube.com/embed/d8B-eyBfDHU?si=nFjS69E399K2Ie5_,582,186.0725,164.375,筑波大学,-,-
2025/7/21,夏季,オープン戦,日立製作所,筑波大学,136,5,裏,0,1,2,1,1,打席継続,イニング継続,試合継続,0,0,5,山下龍斗,0,0,7,松下豪佑,左,0,0,0,山田幹太,右,70,西川鷹晴,0,継続,0,継続,投球,19,99.702,40.194,ストレート,ファール,0,0,フライ,0,0,0,0,0,0,0,138,0,0,D,0,0,black,松下,28,0,0,山下,3,0,0,16,ファール,9,7,https://www.youtube.com/embed/d8B-eyBfDHU?si=nFjS69E399K2Ie5_,594,131.5,74.2975,筑波大学,-,-
2025/7/21,夏季,オープン戦,日立製作所,筑波大学,137,5,裏,0,1,2,1,1,打席継続,イニング継続,試合継続,0,0,5,山下龍斗,0,0,7,松下豪佑,左,0,0,0,山田幹太,右,71,西川鷹晴,0,継続,0,継続,投球,19,220.284,91.35,ストレート,ボール,0,0,0,0,0,0,0,0,0,0,139,0,0,D,0,0,black,松下,28,0,0,山下,3,0,0,16,0,9,7,https://www.youtube.com/embed/d8B-eyBfDHU?si=nFjS69E399K2Ie5_,608,81.53,160.43,筑波大学,-,-
2025/7/21,夏季,オープン戦,日立製作所,筑波大学,138,5,裏,0,1,2,2,1,打席完了,イニング継続,試合継続,0,0,5,山下龍斗,0,0,7,松下豪佑,左,0,0,0,山田幹太,右,72,西川鷹晴,0,三進,0,アウト,投球,19,70.992,124.758,スライダー,凡打死,0,6,ゴロ,B,115.3145455,135.2454545,0,0,0,0,126,0,0,D,0,6ゴロ,black,松下,28,0,0,山下,3,0,0,16,0,9,7,https://www.youtube.com/embed/d8B-eyBfDHU?si=nFjS69E399K2Ie5_,618,62.4625,173.58,筑波大学,-,-
2025/7/21,夏季,オープン戦,日立製作所,筑波大学,139,5,裏,0,1,0,0,2,打席継続,イニング継続,試合継続,0,0,0,0,5,山下龍斗,8,鮎ケ瀬一也,左,0,0,0,山田幹太,右,73,西川鷹晴,0,0,継続,継続,投球,17,64.206,172.782,ストレート,見逃し,0,0,0,0,0,0,0,0,0,0,136,0,0,2,0,0,black,鮎ケ瀬,0,0,0,0,0,山下,3,16,0,9,8,https://www.youtube.com/embed/d8B-eyBfDHU?si=nFjS69E399K2Ie5_,636,54.5725,184.7575,筑波大学,-,-
2025/7/21,夏季,オープン戦,日立製作所,筑波大学,140,5,裏,0,1,1,0,2,打席継続,イニング継続,試合継続,0,0,0,0,5,山下龍斗,8,鮎ケ瀬一也,左,0,0,0,山田幹太,右,74,西川鷹晴,0,0,継続,継続,投球,19,216.108,162.342,ストレート,ボール,0,0,0,0,0,0,0,0,0,0,139,0,0,2,0,0,black,鮎ケ瀬,0,0,0,0,0,山下,3,16,0,9,8,https://www.youtube.com/embed/d8B-eyBfDHU?si=nFjS69E399K2Ie5_,644,190.0175,155.17,筑波大学,-,-
2025/7/21,夏季,オープン戦,日立製作所,筑波大学,141,5,裏,0,1,1,1,2,打席継続,イニング継続,試合継続,0,0,0,0,5,山下龍斗,8,鮎ケ瀬一也,左,0,0,0,山田幹太,右,75,西川鷹晴,0,0,継続,継続,投球,19,189.486,247.428,スライダー,ボール,0,0,0,0,0,0,0,0,0,0,129,0,0,2,0,0,black,鮎ケ瀬,0,0,0,0,0,山下,3,16,0,9,8,https://www.youtube.com/embed/d8B-eyBfDHU?si=nFjS69E399K2Ie5_,653,187.3875,164.375,筑波大学,-,-
2025/7/21,夏季,オープン戦,日立製作所,筑波大学,142,5,裏,0,1,1,2,2,打席継続,イニング継続,試合継続,0,0,0,0,5,山下龍斗,8,鮎ケ瀬一也,左,0,0,0,山田幹太,右,76,西川鷹晴,0,0,継続,継続,投球,19,186.354,110.664,スライダー,見逃し,0,0,0,0,0,0,0,0,0,0,126,0,0,2,0,0,black,鮎ケ瀬,0,0,0,0,0,山下,3,16,0,9,8,https://www.youtube.com/embed/d8B-eyBfDHU?si=nFjS69E399K2Ie5_,661,190.0175,134.7875,筑波大学,-,-
2025/7/21,夏季,オープン戦,日立製作所,筑波大学,143,5,裏,0,1,2,2,2,打席継続,イニング継続,試合継続,0,0,0,0,5,山下龍斗,8,鮎ケ瀬一也,左,0,0,0,山田幹太,右,77,西川鷹晴,0,0,継続,継続,投球,17,165.996,238.032,ツーシーム,ボール,0,0,0,0,0,0,0,0,0,0,131,0,0,2,0,0,black,鮎ケ瀬,0,0,0,0,0,山下,3,16,0,9,8,https://www.youtube.com/embed/d8B-eyBfDHU?si=nFjS69E399K2Ie5_,672,121.6375,219.605,筑波大学,-,-
2025/7/21,夏季,オープン戦,日立製作所,筑波大学,144,5,裏,0,1,2,3,2,打席完了,イニング継続,試合継続,0,0,0,0,5,山下龍斗,8,鮎ケ瀬一也,左,0,0,0,山田幹太,右,78,西川鷹晴,0,0,継続,アウト,投球,17,162.342,159.21,フォーク,凡打死,0,5,ゴロ,C,105.8236364,168.9381818,0,0,0,0,131,0,0,2,0,5ゴロ,black,鮎ケ瀬,0,0,0,0,0,山下,3,16,0,9,8,https://www.youtube.com/embed/d8B-eyBfDHU?si=nFjS69E399K2Ie5_,684,119.665,210.4,筑波大学,-,-
